customer_id,full_name,email,loyalty_status,total_loyalty_points,last_purchase_date,city,phone
C048,Gauri Chopra,gauri.chopra2533@yahoo.com,Gold,6114,2024-05-22,Mumbai,+916770348179
C049,Ritesh Rao,ritesh.rao6746@yahoo.com,Bronze,368,2025-11-10,Indore,+916166320906
C050,Rina Malhotra,rina.malhotra3645@yahoo.com,Silver,142,2025-03-08,Indore,+919415982886
C051,Rina Joshi,rina.joshi3653@gmail.com,Silver,1394,2025-01-04,Indore,+916298159856
C052,Mitali Nair,mitali.nair5754@rediffmail.com,Bronze,222,2025-05-25,Mumbai,+916495389030
C053,Gauri Nair,gauri.nair2926@rediffmail.com,Gold,2646,2021-07-20,Hyderabad,+917484714820
C054,Ritesh Rao,ritesh.rao7150@rediffmail.com,Gold,5223,2024-03-20,Surat,+916816382125
C055,Karan Sharma,karan.sharma7145@gmail.com,Bronze,506,2025-05-27,Kanpur,+919165552769
C056,Isha Mehta,isha.mehta5968@outlook.com,Bronze,486,2025-10-03,Surat,+917348257414
C057,Isha Singh,isha.singh4921@rediffmail.com,Bronze,132,2025-01-14,Kanpur,+917269829408
C058,Kavita Kumar,kavita.kumar3144@outlook.com,Silver,1014,2024-12-15,Bhopal,+916747441732
C059,Divya Saxena,divya.saxena4931@outlook.com,Bronze,366,2023-11-23,Kolkata,+917846355528
C060,Soham Saxena,soham.saxena9940@hotmail.com,Bronze,495,2025-02-17,Jaipur,+918032319170
C061,Soham Verma,soham.verma1390@hotmail.com,Bronze,204,2025-09-01,Delhi,+919515101988
C062,Mitali Joshi,mitali.joshi5086@yahoo.com,Silver,1088,2023-07-10,Ahmedabad,+918625401719
C063,Rina Patel,rina.patel7462@outlook.com,Gold,1787,2025-07-04,Kanpur,+917649174966
C064,Pooja Bose,pooja.bose3998@yahoo.com,Silver,482,2023-11-28,Indore,+919307323181
C065,Gauri Singh,gauri.singh6966@yahoo.com,Bronze,462,2025-11-04,Mumbai,+918394039673
C066,Nisha Singh,nisha.singh7479@yahoo.com,Silver,2013,2025-10-06,Jaipur,+918557448229
C067,Asha Kapoor,asha.kapoor8271@outlook.com,Silver,1156,2025-06-06,Bengaluru,+919193975799
C068,Rina Malhotra,rina.malhotra7374@hotmail.com,Silver,1802,2025-09-05,Nagpur,+918238965651
C069,Pooja Joshi,pooja.joshi4500@outlook.com,Bronze,372,2024-09-10,Pune,+917373142116
C070,Gauri Bhardwaj,gauri.bhardwaj1321@yahoo.com,Bronze,170,2024-12-19,Kanpur,+916918920620
C071,Priya Chopra,priya.chopra6679@hotmail.com,Bronze,372,2022-07-16,Hyderabad,+919886251649
C072,Mitali Saxena,mitali.saxena321@rediffmail.com,Bronze,607,2023-11-29,Chennai,+919236151037
C073,Rohit Chopra,rohit.chopra8819@rediffmail.com,Silver,1178,2024-07-05,Chennai,+917871901278
C074,Pooja Gupta,pooja.gupta6372@hotmail.com,Silver,2138,2025-01-10,Indore,+918007425404
C075,Sahil Kumar,sahil.kumar8752@gmail.com,Gold,1239,2025-07-21,Mumbai,+916360551585
C076,Kavya Chopra,kavya.chopra2224@outlook.com,Bronze,464,2024-08-15,Kolkata,+917952918745
C077,Asha Rao,asha.rao6212@hotmail.com,Silver,1252,2025-01-27,Delhi,+918019952485
C078,Amit Bhardwaj,amit.bhardwaj854@hotmail.com,Bronze,240,2024-02-01,Lucknow,+916172907376
C079,Mitali Gupta,mitali.gupta4052@yahoo.com,Silver,1255,2025-08-20,Bengaluru,+918033929266
C080,Isha Singh,isha.singh9241@yahoo.com,Bronze,97,2024-08-11,Bengaluru,+918602289301
C081,Divya Singh,divya.singh2684@hotmail.com,Bronze,256,2023-12-19,Surat,+918909184445
C082,Sahil Bose,sahil.bose6499@yahoo.com,Bronze,371,2025-10-30,Kolkata,+916437662764
C083,Anjali Menon,anjali.menon9838@gmail.com,Silver,2086,2025-06-24,Pune,+918288123416
C084,Neha Das,neha.das1130@rediffmail.com,Silver,889,2023-12-05,Indore,+918105400301
C085,Sneha Chopra,sneha.chopra5935@outlook.com,Silver,714,2025-02-10,Jaipur,+918793693337
C086,Karan Pandey,karan.pandey8818@outlook.com,Bronze,199,2025-07-21,Indore,+917054393708
C087,Tarun Patel,tarun.patel4570@outlook.com,Bronze,483,2025-03-12,Lucknow,+917627746667
C088,Asha Gupta,asha.gupta8099@hotmail.com,Bronze,365,2024-06-27,Chennai,+917461744198
C089,Karan Pandey,karan.pandey4527@rediffmail.com,Bronze,194,2024-06-05,Kanpur,+917745595491
C090,Pooja Bhardwaj,pooja.bhardwaj3938@outlook.com,Silver,1507,2025-04-08,Mumbai,+916399661102
C091,Suman Joshi,suman.joshi6626@yahoo.com,Bronze,319,2025-07-10,Jaipur,+918280292341
C092,Deepak Chopra,deepak.chopra9018@hotmail.com,Bronze,493,2025-03-01,Chennai,+916990153355
C093,Sneha Mehta,sneha.mehta5170@gmail.com,Silver,778,2025-10-29,Kolkata,+919172282824
C094,Pooja Nair,pooja.nair9660@rediffmail.com,Silver,1003,2024-03-04,Chennai,+916977032766
C095,Deepak Verma,deepak.verma4953@gmail.com,Silver,964,2024-03-31,Mumbai,+918376658660
C096,Suman Kumar,suman.kumar8043@gmail.com,Gold,1072,2025-07-02,Ahmedabad,+917891799103
C097,Asha Verma,asha.verma842@hotmail.com,Gold,4592,2025-03-26,Delhi,+917721025347
C098,Pooja Patel,pooja.patel9454@gmail.com,Bronze,352,2025-06-21,Delhi,+917065972034
C099,Sneha Bhardwaj,sneha.bhardwaj6819@rediffmail.com,Silver,1203,2025-08-17,Jaipur,+917633711193
C100,Sameer Kapoor,sameer.kapoor4872@rediffmail.com,Gold,3530,2024-09-30,Mumbai,+918618344818
C101,Ritesh Singh,ritesh.singh3405@yahoo.com,Bronze,16,2024-02-14,Bengaluru,+918370788647
C102,Priya Verma,priya.verma44@outlook.com,Bronze,215,2025-07-23,Mumbai,+916994182853
C103,Suman Menon,suman.menon7439@gmail.com,Silver,994,2024-08-19,Lucknow,+918533126989
C104,Isha Mehta,isha.mehta6966@gmail.com,Bronze,139,2025-09-16,Chennai,+919550353803
C105,Rahul Patel,rahul.patel978@yahoo.com,Silver,1103,2025-07-24,Surat,+919956491798
C106,Suman Kapoor,suman.kapoor2038@outlook.com,Silver,1442,2025-11-08,Chennai,+918149511642
C107,Kavita Malhotra,kavita.malhotra7173@gmail.com,Silver,2331,2025-02-07,Surat,+917075321966
C108,Amit Patel,amit.patel3751@rediffmail.com,Silver,1304,2023-12-14,Lucknow,+919527977383
C109,Karan Saxena,karan.saxena660@yahoo.com,Bronze,351,2025-09-20,Chennai,+916779489931
C110,Arjun Chopra,arjun.chopra8057@gmail.com,Bronze,285,2025-01-14,Lucknow,+916449253056
C111,Rina Verma,rina.verma5404@outlook.com,Silver,48,2024-09-13,Hyderabad,+919494239516
C112,Mitali Bhardwaj,mitali.bhardwaj602@outlook.com,Bronze,294,2024-08-07,Nagpur,+917735918651
C113,Rina Ahuja,rina.ahuja19@rediffmail.com,Bronze,312,2024-01-17,Pune,+918674192109
C114,Mitali Malhotra,mitali.malhotra7243@gmail.com,Bronze,792,2025-06-07,Chennai,+917881694278
C115,Gauri Malhotra,gauri.malhotra1990@gmail.com,Gold,3615,2025-08-07,Kanpur,+916680229045
C116,Suman Bhardwaj,suman.bhardwaj225@rediffmail.com,Bronze,360,2024-07-10,Bhopal,+916487311805
C117,Sameer Singh,sameer.singh2523@outlook.com,Gold,3930,2024-09-16,Chennai,+917784517419
C118,Tarun Malhotra,tarun.malhotra7737@yahoo.com,Bronze,66,2024-04-19,Bhopal,+918574307168
C119,Manish Kumar,manish.kumar1144@hotmail.com,Silver,1885,2025-01-20,Nagpur,+918180716723
C120,Karan Gupta,karan.gupta4635@hotmail.com,Silver,1651,2025-07-08,Ahmedabad,+919716265973
C121,Rahul Kapoor,rahul.kapoor8825@outlook.com,Bronze,458,2025-06-10,Hyderabad,+917955690228
C122,Sahil Rao,sahil.rao3091@yahoo.com,Silver,654,2024-07-19,Hyderabad,+916187463722
C123,Asha Malhotra,asha.malhotra6247@outlook.com,Gold,6805,2025-09-20,Ahmedabad,+916158998032
C124,Rahul Ahuja,rahul.ahuja9670@hotmail.com,Gold,1196,2025-02-15,Bhopal,+917962491159
C125,Amit Kumar,amit.kumar6718@yahoo.com,Bronze,417,2024-08-20,Kanpur,+917707177877
C126,Kavya Patel,kavya.patel5384@rediffmail.com,Bronze,738,2024-10-12,Bhopal,+919261605950
C127,Pooja Bhardwaj,pooja.bhardwaj589@rediffmail.com,Bronze,101,2025-08-30,Chennai,+916977046129
C128,Ritesh Patel,ritesh.patel7111@gmail.com,Silver,860,2025-11-12,Ahmedabad,+916714531298
C129,Anjali Menon,anjali.menon475@gmail.com,Bronze,319,2024-01-19,Pune,+917849785671
C130,Rahul Joshi,rahul.joshi8703@outlook.com,Silver,897,2024-05-25,Delhi,+918617747281
C131,Rina Bose,rina.bose3946@outlook.com,Gold,898,2024-04-17,Lucknow,+917090824373
C132,Sameer Nair,sameer.nair154@outlook.com,Gold,4137,2025-10-16,Delhi,+917897214963
C133,Deepak Saxena,deepak.saxena4902@outlook.com,Silver,562,2025-03-04,Kolkata,+917652244897
C134,Rina Malhotra,rina.malhotra1748@yahoo.com,Bronze,394,2024-11-24,Kanpur,+917268006448
C135,Amit Bose,amit.bose4498@gmail.com,Silver,648,2025-10-25,Mumbai,+919911070030
C136,Divya Malhotra,divya.malhotra4690@yahoo.com,Silver,2129,2024-11-17,Kolkata,+918666707262
C137,Karan Kumar,karan.kumar1592@gmail.com,Bronze,143,2022-11-06,Kanpur,+916564409423
C138,Priya Menon,priya.menon5353@outlook.com,Bronze,235,2024-04-06,Bhopal,+917571346130
C139,Manish Ahuja,manish.ahuja4466@yahoo.com,Bronze,462,2025-03-30,Chennai,+919206447974
C140,Rina Rao,rina.rao1887@outlook.com,Gold,1538,2024-04-15,Kolkata,+919694275735
C141,Isha Bose,isha.bose9132@hotmail.com,Bronze,345,2021-11-20,Delhi,+917953291127
C142,Deepak Nair,deepak.nair9578@outlook.com,Silver,1984,2024-12-07,Kolkata,+918024977737
C143,Amit Pandey,amit.pandey9199@hotmail.com,Gold,785,2024-07-06,Lucknow,+919538431800
C144,Sameer Menon,sameer.menon6690@gmail.com,Bronze,336,2023-12-31,Ahmedabad,+916498733671
C145,Sneha Joshi,sneha.joshi8808@yahoo.com,Bronze,351,2024-12-06,Kanpur,+918991375951
C146,Kavita Chopra,kavita.chopra9623@yahoo.com,Gold,5563,2025-09-23,Ahmedabad,+918644206129
C147,Neha Nair,neha.nair537@hotmail.com,Bronze,52,2025-02-20,Indore,+917557724698
C148,Sneha Das,sneha.das8921@hotmail.com,Bronze,35,2024-08-31,Delhi,+919642274789
C149,Tarun Kapoor,tarun.kapoor1502@yahoo.com,Silver,1513,2025-07-26,Mumbai,+919379257051
C150,Asha Joshi,asha.joshi2064@rediffmail.com,Bronze,359,2025-06-12,Kolkata,+919492035954
C151,Rina Joshi,rina.joshi5384@yahoo.com,Silver,1350,2024-01-31,Bengaluru,+918320207740
C152,Karan Verma,karan.verma1802@gmail.com,Bronze,369,2024-11-23,Kolkata,+918529104043
C153,Asha Gupta,asha.gupta2855@hotmail.com,Bronze,163,2025-01-27,Kanpur,+916272979685
C154,Pooja Kapoor,pooja.kapoor5932@rediffmail.com,Silver,1339,2025-02-27,Surat,+916186251406
C155,Ritesh Ahuja,ritesh.ahuja4942@outlook.com,Silver,1375,2022-03-18,Indore,+917724932977
C156,Neha Singh,neha.singh8033@outlook.com,Bronze,157,2024-02-13,Bengaluru,+916282103057
C157,Rahul Nair,rahul.nair9591@rediffmail.com,Silver,2319,2024-12-17,Jaipur,+917266576188
C158,Sameer Ahuja,sameer.ahuja9920@outlook.com,Bronze,394,2025-11-10,Lucknow,+918795665767
C159,Gauri Bhardwaj,gauri.bhardwaj3523@outlook.com,Bronze,61,2024-07-13,Indore,+917947762953
C160,Rohit Chopra,rohit.chopra1558@hotmail.com,Bronze,431,2025-10-04,Bengaluru,+918949873860
C161,Sahil Malhotra,sahil.malhotra1100@gmail.com,Silver,615,2024-02-26,Kanpur,+919173104657
C162,Deepak Kumar,deepak.kumar9116@gmail.com,Silver,1672,2025-06-20,Lucknow,+916524979361
C163,Neha Das,neha.das6930@gmail.com,Gold,6317,2025-07-29,Delhi,+918482141132
C164,Manish Mehta,manish.mehta2536@outlook.com,Bronze,135,2024-03-12,Jaipur,+917578662692
C165,Sneha Nair,sneha.nair9407@yahoo.com,Silver,1778,2025-06-19,Indore,+918670283403
C166,Divya Bhardwaj,divya.bhardwaj431@rediffmail.com,Gold,4825,2025-11-02,Bengaluru,+917173687378
C167,Anjali Menon,anjali.menon5568@hotmail.com,Bronze,464,2024-04-17,Hyderabad,+916298867122
C168,Rahul Gupta,rahul.gupta1504@rediffmail.com,Bronze,679,2025-01-25,Bengaluru,+917589365925
C169,Suman Rao,suman.rao9300@rediffmail.com,Bronze,250,2024-01-15,Nagpur,+918653594796
C170,Rupesh Patel,rupesh.patel4459@outlook.com,Silver,747,2025-04-03,Hyderabad,+917173242669
C171,Vikram Ahuja,vikram.ahuja1865@hotmail.com,Bronze,122,2024-09-08,Surat,+918090071756
C172,Manish Menon,manish.menon745@yahoo.com,Bronze,136,2023-10-01,Chennai,+916907243029
C173,Mitali Kumar,mitali.kumar4187@hotmail.com,Bronze,284,2023-11-30,Hyderabad,+916754603440
C174,Rahul Bose,rahul.bose8726@yahoo.com,Bronze,368,2025-10-07,Delhi,+917705407682
C175,Rina Sharma,rina.sharma7148@gmail.com,Bronze,355,2024-02-10,Surat,+917843761970
C176,Arjun Bose,arjun.bose6844@hotmail.com,Bronze,465,2023-12-14,Bengaluru,+919441652418
C177,Divya Kapoor,divya.kapoor5929@gmail.com,Bronze,302,2024-03-10,Surat,+917719918855
C178,Manish Patel,manish.patel6485@hotmail.com,Silver,2072,2024-07-06,Bengaluru,+916328046924
C179,Manish Singh,manish.singh8694@rediffmail.com,Bronze,247,2024-11-14,Indore,+918772156452
C180,Tarun Kumar,tarun.kumar3872@gmail.com,Bronze,844,2024-06-12,Bengaluru,+919265099819
C181,Mitali Patel,mitali.patel2903@outlook.com,Bronze,425,2025-06-22,Ahmedabad,+918925445989
C182,Sahil Saxena,sahil.saxena5296@hotmail.com,Bronze,128,2024-01-31,Lucknow,+917300603858
C183,Soham Nair,soham.nair9690@gmail.com,Bronze,85,2024-02-06,Ahmedabad,+916161521910
C184,Rupesh Das,rupesh.das4704@gmail.com,Silver,1489,2024-02-23,Jaipur,+917651339677
C185,Sameer Saxena,sameer.saxena9082@gmail.com,Bronze,255,2025-06-30,Pune,+918598480273
C186,Pooja Ahuja,pooja.ahuja2472@gmail.com,Bronze,442,2024-11-08,Delhi,+918167021467
C187,Kavya Verma,kavya.verma642@yahoo.com,Silver,1483,2025-02-14,Surat,+916681809785
C188,Deepak Das,deepak.das4635@outlook.com,Bronze,285,2024-11-03,Mumbai,+919389703852
C189,Kavya Rao,kavya.rao1080@hotmail.com,Bronze,130,2025-10-17,Chennai,+919108412367
C190,Rina Pandey,rina.pandey2464@hotmail.com,Bronze,2,2025-10-02,Pune,+917332435144
C191,Kavya Bose,kavya.bose2113@rediffmail.com,Silver,932,2024-02-17,Hyderabad,+918763782498
C192,Soham Rao,soham.rao2094@rediffmail.com,Bronze,471,2025-10-09,Pune,+916078299575
C193,Deepak Menon,deepak.menon2954@yahoo.com,Bronze,342,2025-04-03,Bengaluru,+916665484476
C194,Priya Menon,priya.menon1658@rediffmail.com,Silver,452,2023-01-03,Bhopal,+919291266105
C195,Divya Kumar,divya.kumar9786@outlook.com,Bronze,334,2024-05-26,Nagpur,+918683239935
C196,Soham Verma,soham.verma7171@gmail.com,Bronze,377,2025-10-15,Ahmedabad,+918622487366
C197,Suman Kapoor,suman.kapoor3834@rediffmail.com,Bronze,123,2025-03-17,Kolkata,+917579864877
C198,Isha Saxena,isha.saxena7219@outlook.com,Silver,1292,2024-12-18,Hyderabad,+916696034559
C199,Tarun Mehta,tarun.mehta9907@yahoo.com,Gold,4116,2024-01-15,Indore,+917594343845
C200,Kavita Singh,kavita.singh8453@gmail.com,Bronze,71,2024-05-05,Bhopal,+918204833223
C201,Rahul Chopra,rahul.chopra1503@yahoo.com,Silver,1414,2024-11-14,Hyderabad,+916228736604
C202,Rohit Ahuja,rohit.ahuja6127@yahoo.com,Bronze,412,2024-02-14,Mumbai,+917368741091
C203,Sahil Singh,sahil.singh5494@yahoo.com,Bronze,516,2024-09-11,Ahmedabad,+918989606411
C204,Tarun Kumar,tarun.kumar7686@outlook.com,Silver,1832,2023-09-08,Indore,+916642181881
C205,Kavita Pandey,kavita.pandey8648@outlook.com,Bronze,24,2024-09-13,Delhi,+916205082311
C206,Nisha Chopra,nisha.chopra7490@gmail.com,Bronze,112,2025-04-17,Mumbai,+918714225802
C207,Manish Saxena,manish.saxena3964@yahoo.com,Bronze,403,2023-11-24,Kolkata,+918450982005
C208,Neha Verma,neha.verma1403@rediffmail.com,Gold,5027,2024-01-31,Jaipur,+918178955870
C209,Soham Ahuja,soham.ahuja9080@gmail.com,Bronze,403,2022-09-22,Pune,+917089419573
C210,Ritesh Gupta,ritesh.gupta5851@gmail.com,Bronze,1070,2025-09-25,Nagpur,+918499255738
C211,Ritesh Rao,ritesh.rao2186@gmail.com,Bronze,414,2024-11-03,Bengaluru,+919566470640
C212,Mitali Kapoor,mitali.kapoor7841@yahoo.com,Silver,1881,2024-01-26,Ahmedabad,+916158844179
C213,Suman Mehta,suman.mehta718@yahoo.com,Gold,5908,2024-10-11,Jaipur,+917710359289
C214,Tarun Bhardwaj,tarun.bhardwaj7757@hotmail.com,Bronze,430,2025-09-15,Pune,+919702856787
C215,Mitali Sharma,mitali.sharma5439@hotmail.com,Bronze,236,2024-12-03,Hyderabad,+919192482284
C216,Sameer Bose,sameer.bose5555@yahoo.com,Bronze,451,2025-04-15,Nagpur,+918230272804
C217,Karan Patel,karan.patel6956@gmail.com,Bronze,145,2024-05-25,Pune,+916440654676
C218,Priya Rao,priya.rao4844@hotmail.com,Bronze,252,2025-02-01,Ahmedabad,+917509882812
C219,Sameer Sharma,sameer.sharma5777@rediffmail.com,Gold,3029,2024-08-30,Nagpur,+916246351029
C220,Priya Bose,priya.bose5953@rediffmail.com,Silver,1249,2025-10-18,Mumbai,+916613233132
C221,Rina Pandey,rina.pandey7180@gmail.com,Bronze,762,2024-07-21,Pune,+917555424924
C222,Rohit Saxena,rohit.saxena531@rediffmail.com,Bronze,73,2025-02-25,Pune,+917906704716
C223,Mitali Patel,mitali.patel9404@yahoo.com,Bronze,437,2025-01-03,Chennai,+917072073884
C224,Sneha Gupta,sneha.gupta3049@outlook.com,Bronze,22,2025-06-20,Nagpur,+917117936038
C225,Anjali Kapoor,anjali.kapoor3516@rediffmail.com,Bronze,205,2025-04-08,Bengaluru,+919662861038
C226,Priya Kapoor,priya.kapoor2829@outlook.com,Gold,6177,2025-10-21,Pune,+918868350055
C227,Deepak Patel,deepak.patel9012@rediffmail.com,Bronze,312,2024-09-25,Kanpur,+919047553254
C228,Sahil Verma,sahil.verma5923@rediffmail.com,Bronze,84,2024-06-15,Kolkata,+919394626443
C229,Pooja Gupta,pooja.gupta5913@rediffmail.com,Silver,770,2025-03-15,Jaipur,+916557363168
C230,Divya Patel,divya.patel1078@hotmail.com,Bronze,435,2025-03-27,Nagpur,+917758503592
C231,Tarun Saxena,tarun.saxena1209@yahoo.com,Gold,2539,2025-09-10,Ahmedabad,+918921045865
C232,Manish Das,manish.das2103@rediffmail.com,Silver,1329,2024-05-27,Bengaluru,+917858081385
C233,Manish Sharma,manish.sharma2035@rediffmail.com,Bronze,309,2024-05-09,Bhopal,+919046558332
C234,Nisha Das,nisha.das8502@hotmail.com,Silver,809,2024-08-05,Jaipur,+917178758213
C235,Rahul Menon,rahul.menon8741@gmail.com,Bronze,728,2024-05-13,Surat,+916662259333
C236,Anita Pandey,anita.pandey9915@hotmail.com,Silver,1580,2024-09-25,Delhi,+916195256953
C237,Kavya Saxena,kavya.saxena4337@yahoo.com,Silver,15,2025-01-22,Mumbai,+918139057162
C238,Gauri Bhardwaj,gauri.bhardwaj4746@hotmail.com,Bronze,337,2025-10-24,Ahmedabad,+916313416738
C239,Anjali Sharma,anjali.sharma2590@outlook.com,Bronze,167,2025-03-12,Surat,+916617052325
C240,Asha Rao,asha.rao5659@outlook.com,Bronze,470,2024-12-06,Delhi,+917370592316
C241,Nisha Kapoor,nisha.kapoor2008@hotmail.com,Bronze,141,2024-04-15,Chennai,+917649910946
C242,Rina Pandey,rina.pandey6851@yahoo.com,Gold,3770,2024-05-04,Bhopal,+918481146933
C243,Ritesh Rao,ritesh.rao3111@yahoo.com,Bronze,400,2025-05-03,Bhopal,+917325171272
C244,Pooja Gupta,pooja.gupta1476@outlook.com,Bronze,473,2024-07-26,Pune,+916208985103
C245,Rupesh Menon,rupesh.menon8109@rediffmail.com,Gold,1599,2025-09-22,Chennai,+918305069227
C246,Amit Singh,amit.singh7061@yahoo.com,Gold,3330,2024-12-01,Pune,+916194314620
C247,Rohit Sharma,rohit.sharma9344@rediffmail.com,Bronze,205,2025-06-11,Hyderabad,+918165761020
C248,Sameer Bhardwaj,sameer.bhardwaj4583@rediffmail.com,Silver,808,2024-03-23,Delhi,+917691803583
C249,Deepak Rao,deepak.rao9140@hotmail.com,Silver,2259,2024-06-13,Hyderabad,+918147818256
C250,Rupesh Sharma,rupesh.sharma638@yahoo.com,Silver,1442,2025-03-22,Bengaluru,+918603869092
C251,Gauri Ahuja,gauri.ahuja2291@hotmail.com,Gold,1478,2024-10-14,Surat,+919175352477
C252,Tarun Menon,tarun.menon9728@hotmail.com,Bronze,483,2025-04-27,Kanpur,+918417741295
C253,Suman Malhotra,suman.malhotra273@hotmail.com,Bronze,724,2024-03-14,Surat,+917321466224
C254,Soham Gupta,soham.gupta9780@outlook.com,Bronze,506,2025-09-24,Nagpur,+918484528348
C255,Arjun Joshi,arjun.joshi842@rediffmail.com,Bronze,3,2025-05-12,Surat,+919326907975
C256,Tarun Bose,tarun.bose2422@yahoo.com,Bronze,203,2025-11-09,Mumbai,+917894246230
C257,Asha Chopra,asha.chopra2482@outlook.com,Silver,1960,2025-01-16,Surat,+919953607378
C258,Pooja Sharma,pooja.sharma2263@rediffmail.com,Bronze,158,2024-10-20,Ahmedabad,+918256907178
C259,Rohit Rao,rohit.rao2838@outlook.com,Gold,4887,2024-11-07,Lucknow,+919315670876
C260,Rina Nair,rina.nair9996@outlook.com,Bronze,454,2024-08-01,Chennai,+916965796553
